time,event
291.27126908302307,P2 positive posture event
292.50443482398987,P3 individual negative gaze event
293.768639087677,P3 positive posture event
294.9917085170746,group negative gaze event
295.1846363544464,P3 negative posture event
296.1761598587036,P2 individual negative gaze event
296.3712818622589,P2 negative posture event
297.5577669143677,P3 individual negative gaze event
300.2958142757416,P3 positive posture event
300.77167773246765,group negative gaze event
301.28109550476074,P2 individual negative gaze event
301.4727990627289,P2 positive posture event
302.6908326148987,P3 individual negative gaze event
305.4037320613861,P3 positive posture event
305.8296320438385,group negative gaze event
306.4407169818878,P2 individual negative gaze event
306.625789642334,P2 positive posture event
307.69771218299866,P3 individual negative gaze event
310.5033116340637,P3 positive posture event
310.9574830532074,group negative gaze event
311.5942053794861,P2 individual negative gaze event
311.754763841629,P2 positive posture event
312.78336930274963,P3 individual negative gaze event
315.6027898788452,P3 positive posture event
315.98395347595215,group negative gaze event
316.65491938591003,P2 individual negative gaze event
316.79294300079346,P2 positive posture event
317.2058217525482,P3 negative posture event
317.86730694770813,P3 individual negative gaze event
321.03987431526184,group negative gaze event
321.7180869579315,P2 individual negative gaze event
321.83260703086853,P2 positive posture event
322.2642865180969,P3 negative posture event
322.93424892425537,P3 individual negative gaze event
326.08439660072327,group negative gaze event
326.72195839881897,P2 individual negative gaze event
326.84649658203125,P2 positive posture event
327.3729827404022,P3 negative posture event
328.04875922203064,P3 individual negative gaze event
331.1188440322876,group negative gaze event
331.76680302619934,P2 individual negative gaze event
331.90002822875977,P2 positive posture event
332.5313837528229,P3 negative posture event
333.22295117378235,P3 individual negative gaze event
336.26630425453186,group negative gaze event
336.7978718280792,P2 individual negative gaze event
337.0135464668274,P2 positive posture event
337.57147192955017,P3 negative posture event
338.35456824302673,P3 individual negative gaze event
341.2754728794098,group negative gaze event
341.82566499710083,P2 individual negative gaze event
342.18082642555237,P2 positive posture event
